Topic,Description,Detail URL,Research Area,Opportunity Timing,Deadline Date,Sponsoring Institution,Location,Duration,Compensation,Citizenship Requirement
Watershed Management Research and Outreach Undergraduate Internship Program,This program will provide students with broader perspectives and experience in water-related research and extension education. Students will gain real world experience with the complexities and trade-offs associated with water-related decisions in rural and urban landscapes.,https://researchops.web.illinois.edu/opportunity/watershed-management-research-and-outreach-undergraduate-internship-program,"Agriculture & Food Sciences, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 12/8/24,North Central Region Water Network,Various,10 weeks,"> $10,000","US Citizen, National, or Permanent Resident required"
Dryland Sustainability Research (IRES),"This International Research Experiences for Students (IRES) program offers students the chance to conduct hands-on research in Kenya's drylands, focusing on socio-environmental system transitions and sustainability challenges. Combining fieldwork at the Mpala Research Centre with collaboration alongside local pastoralist communities, participants gain critical research skills and cross-cultural insights into global environmental issues.",https://researchops.web.illinois.edu/opportunity/dryland-sustainability-research-ires,"Agriculture & Food Sciences, Humanities & Arts, Natural Sciences, Social Sciences & Behavior",Summer,12/15/24,"Cornell University, Princeton University, Notre Dame University","Nanyuki, Kenya",7 weeks,,"US Citizen, National, or Permanent Resident required"
MindCORE Summer Fellowship Program at UPenn,"This fellowship provides students with a 10-week summer opportunity to study human intelligence and behavior spanning Biology, Neuroscience, Psychology, Linguistics, Philosophy, and Computer Science. Students will work alongside a Penn faculty mentor, attend workshops, and participate in research discussions.",https://researchops.web.illinois.edu/opportunity/mindcore-summer-fellowship-program-upenn,"Medicine & Health, Social Sciences & Behavior",Summer,Anticipated 12/31/24,University of Pensylvania,"Philadelphia, PA",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
PINNACLE - Renewables and Cybersecurity for the Power Grid in France,"In this eight-week program, students will gain experience in inverter-based electric power systems and addressing challenges in control, communication, and cybersecurity. Participants engage in research, language instruction, and industry visits.",https://researchops.web.illinois.edu/opportunity/pinnacle-renewables-and-cybersecurity-power-grid-france,Science & Technology,Summer,12/15/24,Virginia Polytechnic Institute and State University,"Grenoble, France",8 weeks,"$4,400","US Citizen, National, or Permanent Resident required"
Injury Prevention Center Summer Internships,"The internships are designed for students interested in injury prevention research or practice experiences. They offer important opportunities to gain mentored research and practice-based experience in a CDC-funded multidisciplinary injury prevention center. Interns could work with a mentor from the University of Michigan, the Michigan Department of Health & Human Services, or other organizations on ongoing injury prevention research or practice projects.",https://researchops.web.illinois.edu/opportunity/injury-prevention-center-summer-internships,Medicine & Health,Summer,Anticipated 12/17/24,University of Michigan,"Ann Arbor, MI",10 weeks,"$5,700",No Citizenship Requirements
Yale Conservation Scholars,"Students directly work with and are mentored by professors, research scientists, and environmental professionals. They are exposed to research projects relating to conservation research, environmental policy, conservation finance, environmental education, environmental justice, energy justice, water pollution, food insecurity, community action, and much more.",https://researchops.web.illinois.edu/opportunity/yale-conservation-scholars,Natural Sciences,Summer,1/7/25,Yale University,Varies,9 Weeks,"$8,000","US Citizen, National, or Permanent Resident required"
Summer Training in Academic Research and Scholarship (STARS) Program,"This program offers juniors and seniors from underrepresented groups training in research methods in the labs of BWH and Harvard Medical School’s leading researchers. This opportunity caters to undergraduates interested in careers as research scientists, physicians, and/or health care professionals.",https://researchops.web.illinois.edu/opportunity/summer-training-academic-research-and-scholarship-stars-program,Medicine & Health,Summer,1/3/25,Brigham and Women’s Hospital (BWH),"Boston, MA",8 weeks,"$5,000",No Citizenship Requirements
Mass Media Science & Engineering Fellowship through AAAS,"This program strengthens connections between scientists and journalists by placing undergraduate scientists, engineers, and mathematicians at media organizations (National Public Radio, Los Angeles Times, WIRED, etc.). Students sharpen their abilities to communicate complex scientific issues and enhance coverage of science-related issues in media.",https://researchops.web.illinois.edu/opportunity/mass-media-science-engineering-fellowship-through-aaas,"Humanities & Arts, Natural Sciences, Science & Technology",Summer,1/1/25,American Association for the Advancement of Science (AAAS),"Washinton, DC",10 weeks,"$8,000","US Citizen, National, or Permanent Resident required"
Magazine Internship Program,"The  by the American Society of Magazine Editors (ASME) offers undergraduate students a prestigious opportunity to gain hands-on experience in the magazine industry. Participants are placed in leading magazines and media organizations, working closely with seasoned professionals. This immersive program allows interns to develop skills in editorial content creation, research, writing, and digital media. By participating, interns enhance their portfolios, build professional networks, and gain insight into the magazine industry.",https://researchops.web.illinois.edu/opportunity/magazine-internship-program,"Humanities & Arts, Social Sciences & Behavior",Summer,Anticipated 1/4/25,American Society of Magazine Editors,Various,10 weeks,Varies,No Citizenship Requirements
Fermilab Summer Internships in Science and Technology (SIST),"SIST is a research internship for undergraduate in engineering, materials science, mathematics, and computer science. The program includes work assignments, an academic lecture series, and a final oral and written report.",https://researchops.web.illinois.edu/opportunity/fermilab-summer-internships-science-and-technology-sist,Science & Technology,Summer,Anticipated 1/3/25,Fermi National Accelerator Laboratory,"Batavia, IL",12 weeks,Various,No Citizenship Requirements
