Topic,Description,Research Area,Opportunity Timing,Deadline Date
Watershed Management Research and Outreach Undergraduate Internship Program,This program will provide students with broader perspectives and experience in water-related research and extension education. Students will gain real world experience with the complexities and trade-offs associated with water-related decisions in rural and urban landscapes.,"Agriculture & Food Sciences, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 12/8/24
PINNACLE - Renewables and Cybersecurity for the Power Grid in France,"In this eight-week program, students will gain experience in inverter-based electric power systems and addressing challenges in control, communication, and cybersecurity. Participants engage in research, language instruction, and industry visits.",Science & Technology,Summer,12/15/24
Dryland Sustainability Research (IRES),"This International Research Experiences for Students (IRES) program offers students the chance to conduct hands-on research in Kenya's drylands, focusing on socio-environmental system transitions and sustainability challenges. Combining fieldwork at the Mpala Research Centre with collaboration alongside local pastoralist communities, participants gain critical research skills and cross-cultural insights into global environmental issues.","Agriculture & Food Sciences, Humanities & Arts, Natural Sciences, Social Sciences & Behavior",Summer,12/15/24
Injury Prevention Center Summer Internships,"The internships are designed for students interested in injury prevention research or practice experiences. They offer important opportunities to gain mentored research and practice-based experience in a CDC-funded multidisciplinary injury prevention center. Interns could work with a mentor from the University of Michigan, the Michigan Department of Health & Human Services, or other organizations on ongoing injury prevention research or practice projects.",Medicine & Health,Summer,Anticipated 12/17/24
MindCORE Summer Fellowship Program at UPenn,"This fellowship provides students with a 10-week summer opportunity to study human intelligence and behavior spanning Biology, Neuroscience, Psychology, Linguistics, Philosophy, and Computer Science. Students will work alongside a Penn faculty mentor, attend workshops, and participate in research discussions.","Medicine & Health, Social Sciences & Behavior",Summer,Anticipated 12/31/24
Mass Media Science & Engineering Fellowship through AAAS,"This program strengthens connections between scientists and journalists by placing undergraduate scientists, engineers, and mathematicians at media organizations (National Public Radio, Los Angeles Times, WIRED, etc.). Students sharpen their abilities to communicate complex scientific issues and enhance coverage of science-related issues in media.","Humanities & Arts, Natural Sciences, Science & Technology",Summer,1/1/25
Fermilab Summer Internships in Science and Technology (SIST),"SIST is a research internship for undergraduate in engineering, materials science, mathematics, and computer science. The program includes work assignments, an academic lecture series, and a final oral and written report.",Science & Technology,Summer,Anticipated 1/3/25
Summer Training in Academic Research and Scholarship (STARS) Program,"This program offers juniors and seniors from underrepresented groups training in research methods in the labs of BWH and Harvard Medical School’s leading researchers. This opportunity caters to undergraduates interested in careers as research scientists, physicians, and/or health care professionals.",Medicine & Health,Summer,1/3/25
Magazine Internship Program,"The  by the American Society of Magazine Editors (ASME) offers undergraduate students a prestigious opportunity to gain hands-on experience in the magazine industry. Participants are placed in leading magazines and media organizations, working closely with seasoned professionals. This immersive program allows interns to develop skills in editorial content creation, research, writing, and digital media. By participating, interns enhance their portfolios, build professional networks, and gain insight into the magazine industry.","Humanities & Arts, Social Sciences & Behavior",Summer,Anticipated 1/4/25
Yale Conservation Scholars,"Students directly work with and are mentored by professors, research scientists, and environmental professionals. They are exposed to research projects relating to conservation research, environmental policy, conservation finance, environmental education, environmental justice, energy justice, water pollution, food insecurity, community action, and much more.",Natural Sciences,Summer,1/7/25
